Route,Street,Lockdown Avg travel time,Lockdown # of samples,2019 Avg travel time,2019 # of samples,TT change %,2019 Free flow Travel time,Lockdown Travel time index,2019 Travel time index
cap_tx_hwy_spicewood_springs_north->cap_tx_hwy_lakewood,Loop 360,114.6818182,1109,185.3218391,2083,-0.381174832,112.5504587,1.018936924,1.646566715
cap_tx_hwy_spicewood_springs_north->cap_tx_hwy_westlake,Loop 360,335.8527607,495,752.0297619,1026,-0.553404961,306.7827957,1.094757481,2.451342684
cap_tx_hwy_westlake->cap_tx_hwy_spicewood_springs_north,Loop 360,359.8238636,947,1006.185629,1080,-0.64238819,300.8034557,1.196209208,3.344993582
cesar_chavez_lavaca->congress_cesar_chavez,Cesar Chavez,30.3559322,699,69.38461538,607,-0.562497651,31.99182004,0.948865434,2.168823634
cesar_chavez_lavaca->south_1st_barton_spring,South 1st,75.5,64,114.2363636,192,-0.339089607,108.4146341,0.69640045,1.053698742
cesar_chavez_lavaca->south_1st_oltorf,South 1st,305.2352941,41,442.9305556,107,-0.31087325,488.6382979,0.624665106,0.906458944
cesar_chavez_lavaca->south_1st_st_elmo,South 1st,461.5,3,1038.153846,13,-0.555460877,808.6,0.57073955,1.283890485
congress_11th->congress_6th,Congress,98.71428571,9,174.5,155,-0.434302088,121.375,0.813299985,1.4376931
congress_6th->congress_11th,Congress,111.1333333,17,100.8196721,77,0.102298103,88.45698925,1.256354464,1.139759255
congress_6th->congress_cesar_chavez,Congress,65.7,72,176.310559,671,-0.62736208,114.6489362,0.573053726,1.537829873
congress_6th->congress_elizabeth,Congress,284.6666667,26,582.6515152,309,-0.511428943,370.075188,0.769213057,1.574413887
congress_6th->lamar_6th,6th st,137,71,262.2898551,337,-0.477677091,146.0980926,0.937726137,1.795299653
congress_cesar_chavez->cesar_chavez_lavaca,Cesar Chavez,35.59006211,451,68.43589744,647,-0.479950385,45.2406015,0.786684105,1.512709716
congress_cesar_chavez->congress_6th,Congress,113.5384615,42,147.5526316,195,-0.230522287,127.7318436,0.888881412,1.155174994
congress_cesar_chavez->riverside_congress,Congress,124.5,2,206.75,13,-0.397823458,150.4285714,0.827635328,1.374406458
congress_elizabeth->congress_6th,Congress,323.3529412,20,543,66,-0.404506554,381.1183432,0.84843185,1.424754305
fm2222_bell_mountain->fm2222_loop360,FM 2222,150.8297872,261,193.5804598,1564,-0.220841879,150.3085339,1.003467889,1.287887352
fm2222_loop360->cap_tx_hwy_lakewood,Loop 360,146.0851064,259,300.7738095,943,-0.514302437,87.35616438,1.672293048,3.443074815
fm2222_loop360->fm2222_bell_mountain,FM 2222,142.75,135,162.9075145,1443,-0.12373594,144.8263889,0.985662911,1.124846899
fm2222_rm620->rm620_wilson_park,FM 2222,88.12209302,1565,95.02352941,1877,-0.07262871,86.36666667,1.020325276,1.100233841
fm973_pearce->ross_pearce,Pearce,152.6927374,920,186.9638554,839,-0.183303441,155.4776903,0.982087765,1.202512432
guadalupe_15th->guadalupe_6th,Guadalupe,158.2,62,307.8596491,262,-0.486129473,127.8571429,1.237318436,2.407840831
guadalupe_21st->guadalupe_24th,Guadalupe,56.50657895,453,132.12,873,-0.572308667,52.54157303,1.075464165,2.514580215
guadalupe_21st->mlk_guadalupe,Guadalupe,44.16959064,548,72.45398773,999,-0.390377369,40.53935185,1.089548516,1.787250768
guadalupe_24th->guadalupe_21st,Guadalupe,53.53459119,750,67.08484848,1404,-0.201986851,54.0625,0.990235213,1.24087581
guadalupe_24th->guadalupe_26th,Guadalupe,35.79605263,661,103.2874251,1008,-0.653432617,47.65842697,0.751095974,2.167243691
guadalupe_24th->mlk_guadalupe,Guadalupe,100.9655172,421,141.5903614,846,-0.286918147,100.064877,1.009000564,1.414985615
