Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13642,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0553383043""","=""9780553383041""",4,4.00,Bantam Spectra,Paperback,183,2004,1968,2017/04/08,2017/04/07,fantasy,fantasy (#45),read,Old school fantasy book about young wizards and dragons.,,,1,,,0,,,,,
18929556,Een hologram voor de koning,Dave Eggers,"Eggers, Dave","Lidwien Biekmann, Jan Nijs","=""""","=""9789048817016""",0,3.29,Lebowski,Paperback,301,2013,2012,,2014/03/16,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
14846293,$100 Startup,Chris Guillebeau,"Guillebeau, Chris",,"=""023076651X""","=""9780230766518""",4,3.82,Macmillan,Paperback,285,2012,2012,2017/04/03,2017/04/03,references,references (#19),read,Accessible book on how to 'think small' and start your own business.,,,1,,,0,,,,,
23995249,The Invention of Nature: Alexander von Humboldt's New World,Andrea Wulf,"Wulf, Andrea",,"=""038535066X""","=""9780385350662""",4,4.31,Knopf,Hardcover,473,2015,2015,2016/10/25,2016/10/25,"environment, biographies","environment (#9), biographies (#2)",read,,,,1,,,0,,,,,
17349,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345409469""","=""9780345409461""",0,4.27,Ballantine Books,Paperback,457,1997,1995,,2017/04/01,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.45,Harvill Secker,Paperback,443,2014,2011,,2017/04/01,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
25733990,"Sleeping Giants (Themis Files, #1)",Sylvain Neuvel,"Neuvel, Sylvain",,"=""1101886692""","=""9781101886694""",5,3.84,Del Rey,Hardcover,320,2016,2016,2017/03/11,2017/03/05,,,read,Top sci-fi book! Really like the interview based narrative. ,,,1,,,0,,,,,
31440702,The Cosmic Machine: The Science That Runs Our Universe and the Story Behind It,Scott Bembenek,"Bembenek, Scott",,"=""0997934107""","=""9780997934106""",0,4.14,Zoari Press,Paperback,358,2017,2017,,2016/10/09,"to-read, chemistry, physics","to-read (#41), chemistry (#13), physics (#16)",to-read,,,,0,,,0,,,,,
24886036,"How to Eat in the Woods: A Complete Guide to Foraging, Trapping, Fishing, and Finding Sustenance in the Wild",Bradford Angier,"Angier, Bradford",,"=""1631910124""","=""9781631910128""",0,4.23,Black Dog & Leventhal,Hardcover,320,2016,2016,,2017/03/05,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
840394,The Quick and Easy Way to Effective Speaking,Dale Carnegie,"Carnegie, Dale",,"=""0671724002""","=""9780671724009""",4,4.07,Pocket Books,Paperback,224,1990,1962,2017/02/26,2016/08/22,,,read,"Old, but not outdated! Contains many useful tips for public speaking or generally clarifying things.",,,1,,,0,,,,,
