Date,Ticker,Price
20100407,WEC,50.79
20100408,WEC,50.27
20100409,WEC,50.14
20100412,WEC,50.54
20100413,WEC,50.75
20100414,WEC,50.97
20100415,WEC,51.4
20100416,WEC,50.85
20100419,WEC,50.37
20100420,WEC,51.09
20100421,WEC,51.3
20100422,WEC,51.54
20100423,WEC,51.7
20100426,WEC,51.89
20100427,WEC,51.69
20100428,WEC,51.0
20100429,WEC,51.245
20100430,WEC,52.31
20100503,WEC,52.89
20100504,WEC,52.94
20100505,WEC,52.87
20100506,WEC,52.35
20100507,WEC,50.61
20100510,WEC,51.88
20100511,WEC,51.38
20100512,WEC,52.05
20100513,WEC,51.86
20100514,WEC,51.07
20100517,WEC,51.05
20100518,WEC,51.39
20100519,WEC,50.39
20100520,WEC,49.73
20100521,WEC,48.24
20100524,WEC,48.41
20100525,WEC,47.32
20100526,WEC,48.44
20100527,WEC,49.0
20100528,WEC,48.99
20100601,WEC,48.69
20100602,WEC,48.59
20100603,WEC,49.21
20100604,WEC,48.48
20100607,WEC,48.23
20100608,WEC,47.63
20100609,WEC,48.65
20100610,WEC,48.58
20100611,WEC,49.06
20100614,WEC,50.14
20100615,WEC,49.93
20100616,WEC,50.38
20100617,WEC,51.25
20100618,WEC,52.11
20100621,WEC,52.15
20100622,WEC,51.37
20100623,WEC,50.27
20100624,WEC,49.72
20100625,WEC,50.73
20100628,WEC,51.01
20100629,WEC,51.37
20100630,WEC,51.43
20100701,WEC,50.18
20100702,WEC,49.96
20100706,WEC,51.21
20100707,WEC,51.56
20100708,WEC,52.88
20100709,WEC,52.94
20100712,WEC,53.03
20100713,WEC,53.86
20100714,WEC,53.39
20100715,WEC,53.88
20100716,WEC,53.68
20100719,WEC,53.15
20100720,WEC,53.43
20100721,WEC,54.5
20100722,WEC,53.98
20100723,WEC,54.5
20100726,WEC,55.24
20100727,WEC,55.53
20100728,WEC,55.64
20100729,WEC,55.85
20100730,WEC,54.2
20100802,WEC,54.74
20100803,WEC,55.13
20100804,WEC,55.11
20100805,WEC,55.0
20100806,WEC,55.25
20100809,WEC,56.0
20100810,WEC,55.45
20100811,WEC,55.06
20100812,WEC,54.75
20100813,WEC,54.74
20100816,WEC,54.81
20100817,WEC,55.7
20100819,WEC,56.0
20100820,WEC,55.15
20090821,WFC,27.91
20090824,WFC,28.17
20090825,WFC,27.57
20090826,WFC,27.14
20090827,WFC,27.55
20090828,WFC,28.01
20090831,WFC,26.97
20090901,WFC,27.34
20090902,WFC,26.1
20090903,WFC,26.33
20090904,WFC,26.88
20090909,WFC,27.03
20090910,WFC,27.5
20090911,WFC,27.82
20090914,WFC,27.17
20090915,WFC,27.93
20090916,WFC,28.77
20090917,WFC,29.24
20090918,WFC,29.08
20090921,WFC,28.39
20090922,WFC,28.63
20090923,WFC,29.33
20090924,WFC,28.9
20090925,WFC,28.27
20090928,WFC,28.31
20090929,WFC,28.7
20090930,WFC,28.43
20091001,WFC,28.06
20091002,WFC,26.04
20091005,WFC,27.44
20091006,WFC,28.34
20091007,WFC,28.49
20091008,WFC,29.16
20091009,WFC,29.01
20091012,WFC,29.5
20091013,WFC,29.98
20091014,WFC,30.7
20091015,WFC,31.0
20091016,WFC,30.58
20091019,WFC,30.35
20091020,WFC,29.98
20091021,WFC,30.1
20091022,WFC,28.79
20091023,WFC,30.18
20091026,WFC,29.31
20091027,WFC,28.41
20091028,WFC,28.23
20091105,WFC,27.02
20091106,WFC,26.72
20091109,WFC,27.5
20091110,WFC,28.25
20091111,WFC,28.37
20091112,WFC,28.78
20091113,WFC,28.07
20091116,WFC,27.92
20091117,WFC,28.19
20091118,WFC,28.29
20091119,WFC,28.59
20091120,WFC,28.21
20091123,WFC,28.22
20091124,WFC,27.89
20091125,WFC,28.01
20091127,WFC,26.96
20091130,WFC,27.28
20091201,WFC,28.15
20091202,WFC,27.88
20091203,WFC,27.52
20091204,WFC,27.02
20091207,WFC,27.07
20091208,WFC,25.99
20091209,WFC,26.15
20091210,WFC,26.18
20091211,WFC,25.09
20091214,WFC,25.4
20091215,WFC,26.02
20091216,WFC,26.09
20091217,WFC,25.64
20091218,WFC,26.38
20091221,WFC,26.99
20091222,WFC,27.26
20091223,WFC,27.27
20091224,WFC,26.96
20091228,WFC,27.08
20091229,WFC,26.72
20091230,WFC,26.5
20091231,WFC,26.74
20100104,WFC,27.02
20100105,WFC,27.25
20100106,WFC,28.03
20100107,WFC,28.12
20100108,WFC,28.9
20100111,WFC,29.1
20100112,WFC,28.47
20100113,WFC,27.99
20100114,WFC,28.5
20100115,WFC,28.82
20100119,WFC,27.9
20100120,WFC,28.02
20100121,WFC,27.98
20100122,WFC,27.98
20100125,WFC,27.45
20100126,WFC,27.44
20100127,WFC,26.9
20100128,WFC,28.3
20100129,WFC,28.45
20100201,WFC,28.58
20100202,WFC,28.96
20100203,WFC,28.57
20100204,WFC,27.93
20100205,WFC,27.3
20100208,WFC,27.23
20100209,WFC,26.89
20100210,WFC,26.61
20100211,WFC,27.15
20100212,WFC,26.79
20100216,WFC,27.19
20100217,WFC,27.61
20100218,WFC,27.3
20100219,WFC,27.08
20100222,WFC,27.48
20100223,WFC,27.95
20100224,WFC,27.45
20100225,WFC,27.17
20100226,WFC,27.49
20100301,WFC,27.45
20100302,WFC,27.4
20100303,WFC,27.95
20100304,WFC,28.35
20100305,WFC,28.63
20100308,WFC,29.13
20100309,WFC,28.8
20100310,WFC,29.13
20100311,WFC,29.53
20100312,WFC,29.88
20100315,WFC,29.48
20100316,WFC,29.93
20100317,WFC,30.41
20100318,WFC,30.47
20100319,WFC,30.5
20100322,WFC,30.09
20100323,WFC,30.47
20100324,WFC,30.84
20100325,WFC,31.03
20100326,WFC,31.21
20100329,WFC,31.32
20100330,WFC,31.1
20100331,WFC,30.58
20100401,WFC,31.4
20100405,WFC,31.48
20100406,WFC,31.36
20100407,WFC,32.27
20100408,WFC,31.79
20100409,WFC,32.4
20100412,WFC,32.4
20100413,WFC,32.16
20100414,WFC,32.46
20100415,WFC,33.23
20100416,WFC,33.21
20100419,WFC,32.62
20100420,WFC,33.19
20100421,WFC,32.59
20100422,WFC,32.7
20100423,WFC,33.7
