route,Free Flow Speed,2019 Peak Hour Mean Speed,2019 Peak Hour 5th Speed,2019 Speed Ratio,2019 BTI,2020 Peak Hour Mean Speed,2020 Peak Hour 5th Speed,2020 Speed Ratio,2020 BTI,2021 Peak Hour Mean Speed,2021 Peak Hour 5th Speed,2021 Speed Ratio,2021 BTI,2019 Congested,2019 Reliability,2020 Congested,2020 Reliability,2021 Congested,2021 Reliability
mlk_red_river$mlk_ih35,36.89727272727273,19.8015117581187,5.0,0.5366659998011819,2.96030235162374,22.486681465038846,7.0,0.6094402052761408,2.2123830664341204,,,,,Congested,Unreliable Travel Time,Not Congested,Unreliable Travel Time,,
mlk_red_river$mlk_lavaca,21.810488676996425,15.883658969804618,10.0,0.7282578215020533,0.5883658969804618,20.869986168741356,14.0,0.9568784302734574,0.49071329776723965,19.007448789571693,13.0,0.8714820227581098,0.46211144535166865,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
mlk_red_river$red_river_dean_keeton,27.58490566037736,19.40086517664023,12.0,0.7033145378672587,0.6167387647200193,9.0,8.999999999999998,0.326265389876881,1.3322676295501878e-16,6.666666666666667,6.0,0.2416780665754674,0.1111111111111111,Not Congested,Reliable Travel Time,Congested,Reliable Travel Time,Congested,Reliable Travel Time
red_river_dean_keeton$mlk_red_river,25.714285714285715,23.794037940379404,14.0,0.9253236976814212,0.6995741385985289,14.0,5.6000000000000005,0.5444444444444444,1.5,12.591836734693878,6.4,0.48968253968253966,0.9674744897959184,Not Congested,Reliable Travel Time,Congested,Unreliable Travel Time,Congested,Reliable Travel Time
riverside_congress$congress_elizabeth,12.0,14.662162162162161,8.65,1.2218468468468469,0.6950476488048742,19.375,10.0,1.6145833333333333,0.9375,,,,,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,,
riverside_congress$riverside_ih35,28.0,11.0,11.0,0.39285714285714285,0.0,,,,,,,,,Congested,Reliable Travel Time,,,,
rm620_anderson_mill$anderson_mill_spicewood_parkway,41.4585448392555,41.215894868585735,32.0,0.9941471662449665,0.2879967146433042,41.19,29.0,0.9935225695861561,0.420344827586207,41.97604790419162,33.35,1.0124824223074542,0.2586521110702133,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
rm620_anderson_mill$rm620_boulder_north,35.93617021276596,33.10909090909091,15.0,0.9213305344744066,1.2072727272727273,,,,,,,,,Not Congested,Reliable Travel Time,,,,
rm620_anderson_mill$rm620_el_salido,28.807692307692307,26.10685941043084,10.0,0.9062461210563443,1.610685941043084,30.41044776119403,13.0,1.0556363708825698,1.3392652123995403,24.311745334796928,10.0,0.8439324148260616,1.4311745334796928,Not Congested,Unreliable Travel Time,Not Congested,Moderately Reliable Travel Time,Not Congested,Moderately Reliable Travel Time
rm620_boulder_north$rm620_anderson_mill,46.946236559139784,19.91504854368932,10.0,0.42420969183763324,0.9915048543689321,,,,,,,,,Congested,Reliable Travel Time,,,,
rm620_boulder_north$rm620_boulder_south,48.0,45.803030303030305,38.25,0.954229797979798,0.19746484452366808,,,,,,,,,Not Congested,Reliable Travel Time,,,,
rm620_boulder_north$rm620_lake_creek,20.727272727272727,11.973684210526315,8.85,0.5776777469990766,0.352958667856081,,,,,,,,,Congested,Reliable Travel Time,,,,
rm620_boulder_south$rm620_boulder_north,46.666666666666664,29.311904761904763,7.0,0.6281122448979592,3.187414965986395,,,,,,,,,Not Congested,Unreliable Travel Time,,,,
rm620_boulder_south$rm620_wilson_park,38.65587044534413,39.25699745547074,25.0,1.0155507301530449,0.5702798982188294,39.477815699658706,26.0,1.0212631417905007,0.5183775269099501,37.94486486486486,17.200000000000003,0.9816067890261438,1.206096794468887,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
rm620_deerbrook$rm620_lake_creek,8.927083333333334,6.2378902045209905,5.0,0.6987601629335065,0.2475780409041982,6.567142857142857,5.0,0.7356426071011835,0.31342857142857145,6.153132250580047,5.0,0.6892656896799119,0.2306264501160094,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
