"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"2010-071","2010-071-01","2010-071-01-01","2010-071-01-01-01",6/20/2011,1,"564 U.S. 379","131 S. Ct. 2488","180 L. Ed. 2d 408","2011 U.S. LEXIS 4564",2010,1704,"Roberts","09-1476","BOROUGH OF DURYEA, PENNSYLVANIA, et al., PETITIONERS v. CHARLES J GUARNIERI",3/22/2011,,3,45,8,45,1,,,0,110,,23,,0,2,2,2,1,5,0,1,0,0,30010,3,1,0,2,,2,204,"NA",106,111,1,9,0
"2010-072","2010-072-01","2010-072-01-01","2010-072-01-01-01",6/20/2011,1,"564 U.S. 410","131 S. Ct. 2527","180 L. Ed. 2d 435","2011 U.S. LEXIS 4565",2010,1704,"Roberts","10-174","AMERICAN ELECTRIC POWER COMPANY, INC., et al., PETITIONERS v. CONNECTICUT ET AL",4/19/2011,,148,,28,8,1,33,,0,96,,22,,0,12,5,2,1,4,0,1,0,0,80130,8,1,0,4,,3,304,"NA",109,111,1,8,0
"2010-073","2010-073-01","2010-073-01-01","2010-073-01-01-01",6/20/2011,1,"564 U.S. 431","131 S. Ct. 2507","180 L. Ed. 2d 452","2011 U.S. LEXIS 4566",2010,1704,"Roberts","10-10","MICHAEL D. TURNER, PETITIONER v. REBECCA L. ROGERS et al.",3/23/2011,,153,,188,,1,,,0,302,48,300,48,0,5,2,1,1,5,0,1,0,0,10080,1,2,0,2,,2,230,"NA",110,106,1,5,4
"2010-074","2010-074-01","2010-074-01-01","2010-074-01-01-01",6/23/2011,1,"564 U.S. 685","131 S. Ct. 2630","180 L. Ed. 2d 637","2011 U.S. LEXIS 4795",2010,1704,"Roberts","10-235","CSX TRANSPORTATION, INC., PETITIONER v. ROBERT MCBRIDE",3/28/2011,,231,,145,,1,,,0,67,,27,,0,11,2,2,1,2,0,0,0,0,80040,8,2,0,4,7,3,329,"NA",109,108,1,5,4
"2010-075","2010-075-01","2010-075-01-01","2010-075-01-01-01",6/23/2011,1,"564 U.S. 647","131 S. Ct. 2705","180 L. Ed. 2d 610","2011 U.S. LEXIS 4790",2010,1704,"Roberts","09-10876","DONALD BULLCOMING, PETITIONER v. NEW MEXICO",3/2/2011,,137,,28,36,1,,,0,302,36,300,36,0,11,2,1,1,4,0,1,0,0,10270,1,2,0,2,,2,213,"NA",109,105,1,5,4
"2010-076","2010-076-01","2010-076-01-01","2010-076-01-01-01",6/23/2011,1,"564 U.S. 604","131 S. Ct. 2567","180 L. Ed. 2d 580","2011 U.S. LEXIS 4793",2010,1704,"Roberts","09-993","PLIVIA, INC., et al., PETITIONERS v. GLADYS MENSING",3/30/2011,,143,,134,,1,40,,0,83,,28,,0,12,2,1,1,4,0,1,0,0,100030,10,2,0,1,,1,148,"NA",108,111,1,5,4
"2010-077","2010-077-01","2010-077-01-01","2010-077-01-01-01",6/23/2011,1,"564 U.S. 552","131 S. Ct. 2653","180 L. Ed. 2d 544","2011 U.S. LEXIS 4794",2010,1704,"Roberts","10-779","SORRELL, ATTORNEY GENERAL OF VERMONT, et al. v. IMS HEALTH INC. ET AL",4/26/2011,,28,53,143,,1,,,0,124,,22,,1,2,4,2,3,2,0,0,0,0,30020,3,2,0,2,,2,200,"NA",106,111,1,6,3
"2010-078","2010-078-01","2010-078-01-01","2010-078-01-01-01",6/23/2011,7,"564 U.S. 522","131 S. Ct. 2685","180 L. Ed. 2d 519","2011 U.S. LEXIS 4792",2010,1704,"Roberts","09-10245","WILLIAM FREEMAN v. UNITED STATES",2/23/2011,,137,,27,,1,113,,0,74,,26,,0,12,2,1,1,4,0,1,0,0,10560,1,2,0,4,,6,600,"18-3582",106,106,1,5,4
"2010-079","2010-079-01","2010-079-01-01","2010-079-01-01-01",6/23/2011,1,"564 U.S. 462","131 S. Ct. 2594","180 L. Ed. 2d 475","2011 U.S. LEXIS 4791",2010,1704,"Roberts","10-179","HOWARD K. STERN, EXECUTOR OF THE ESTATE OF VICKI LYNN MARSHALL, PETITIONER, v. ELAINE T. MARSHALL, EXECUTRIX OF THE ESTATE OF E. PIERCE MARSHALL",1/18/2011,,253,,129,,1,,,0,48,,29,,0,12,4,1,2,2,0,0,0,0,140070,14,3,0,1,,6,600,"28-157",111,111,1,5,4
"2010-081","2010-081-01","2010-081-01-01","2010-081-01-01-01",6/27/2011,1,"564 U.S. 915","131 S. Ct. 2846","180 L. Ed. 2d 796","2011 U.S. LEXIS 4801",2010,1704,"Roberts","10-76","GOODYEAR DUNLOP TIRES OPERATIONS, S.A., et al., PETITIONERS v. EDGAR D. BROWN, ET UX., CO-ADMINISTRATORS OF THE ESTATE OF JULIAN DAVID BROWN, et al.",1/11/2011,,159,,175,,1,,,0,302,38,301,38,0,11,2,1,1,3,0,1,0,0,40060,4,2,0,2,,2,230,"NA",109,111,1,9,0
"2010-082","2010-082-01","2010-082-01-01","2010-082-01-01-01",6/27/2011,7,"564 U.S. 873","131 S. Ct. 2780","180 L. Ed. 2d 765","2011 U.S. LEXIS 4800",2010,1704,"Roberts","09-1343","J. MCINTYRE MACHINERY, LTD., PETITIONER v. ROBERT NICASTRO, INDIVIDUALLY AND AS ADMINISTRATOR OF THE ESTATE OF ROSEANNE NICASTRO",1/11/2011,,184,,208,,1,,,0,302,35,300,35,0,12,2,1,1,3,0,1,0,0,40060,4,2,0,2,,2,230,"NA",106,111,1,6,3
"2010-083","2010-083-01","2010-083-01-01","2010-083-01-01-01",6/27/2011,1,"564 U.S. 786","131 S. Ct. 2729","180 L. Ed. 2d 708","2011 U.S. LEXIS 4802",2010,1704,"Roberts","08-1448","EDMUND G. BROWN, JR., GOVERNOR OF CALIFORNIA, et al., PETITIONERS v. ENTERTAINMENT MERCHANTS ASSOCIATION, et al.",11/2/2010,,19,6,109,,1,,,0,50,,29,,0,12,2,2,3,2,0,0,0,0,30010,3,2,0,2,,2,200,"NA",105,111,1,7,2
